文件名,批次,宽度,高度,大小_KB,颜色,采集人,日期,手机型号,横机型号,备注
微信图片_20260920114219_139_185.jpg,185,3072,4096,791.8,待统计,,,,,
微信图片_20260920114220_140_185.jpg,185,3072,4096,771.8,待统计,,,,,
微信图片_20260920114221_141_185.jpg,185,3072,4096,424.8,待统计,,,,,
微信图片_20260920114222_142_185.jpg,185,3072,4096,1377.4,待统计,,,,,
微信图片_20260920114223_143_185.jpg,185,4096,3072,1716.3,待统计,,,,,
微信图片_20260920114224_144_185.jpg,185,4096,3072,1342.7,待统计,,,,,
微信图片_20260920114226_147_185.png,185,1260,934,1214.0,待统计,,,,,
微信图片_20260920114227_148_185.png,185,1260,2218,3315.0,待统计,,,,,
微信图片_20260920114229_149_185.png,185,1260,2226,4288.8,待统计,,,,,
微信图片_20260920114229_150_185.jpg,185,1080,1920,908.4,待统计,,,,,
微信图片_20260920114230_151_185.jpg,185,1080,1920,823.5,待统计,,,,,
微信图片_20260920114231_152_185.jpg,185,1080,1920,1041.4,待统计,,,,,
微信图片_20260920114232_154_185.jpg,185,1170,1477,391.6,待统计,,,,,
微信图片_20260920114233_155_185.jpg,185,1170,1409,832.8,待统计,,,,,
微信图片_20260920114234_156_185.jpg,185,1170,1458,790.2,待统计,,,,,
微信图片_20260920114235_157_185.jpg,185,1169,1939,669.3,待统计,,,,,
微信图片_20260920114236_158_185.jpg,185,1168,1935,542.8,待统计,,,,,
微信图片_20260920114236_159_185.jpg,185,1162,1194,448.9,待统计,,,,,
微信图片_20260920114237_160_185.jpg,185,1170,1361,471.7,待统计,,,,,
微信图片_20260920114238_161_185.jpg,185,1170,1482,824.0,待统计,,,,,
微信图片_20260920114238_162_185.jpg,185,1260,2217,528.6,待统计,,,,,
微信图片_20260920114239_163_185.jpg,185,1279,2274,1753.8,待统计,,,,,
微信图片_20260920114242_165_185.jpg,185,810,1440,544.4,待统计,,,,,
微信图片_20260920142151_172_28.png,28,370,523,273.5,待统计,,,,,
微信图片_20260920142213_173_28.png,28,607,442,365.3,待统计,,,,,
微信图片_20260920142227_174_28.png,28,764,429,462.5,待统计,,,,,
微信图片_20260920142245_175_28.png,28,801,453,348.5,待统计,,,,,
微信图片_20260920142309_176_28.png,28,749,573,830.6,待统计,,,,,
微信图片_20260920142339_177_28.png,28,408,756,595.6,待统计,,,,,
微信图片_20260920142351_178_28.png,28,455,252,207.1,待统计,,,,,
微信图片_20260920142445_179_28.png,28,419,418,284.5,待统计,,,,,
微信图片_20260920142504_180_28.png,28,862,500,567.2,待统计,,,,,
微信图片_20260920142520_181_28.png,28,476,688,534.1,待统计,,,,,
微信图片_20260920142532_182_28.png,28,438,719,482.2,待统计,,,,,
微信图片_20260920142557_183_28.png,28,809,397,627.9,待统计,,,,,
微信图片_20260920142607_184_28.png,28,591,711,867.2,待统计,,,,,
微信图片_20260920142617_185_28.png,28,459,254,214.0,待统计,,,,,
微信图片_20260920142626_186_28.png,28,483,856,491.8,待统计,,,,,
微信图片_20260920142643_187_28.png,28,479,861,549.8,待统计,,,,,
微信图片_20260920142725_188_28.png,28,406,315,181.7,待统计,,,,,
微信图片_20260920143218_189_28.png,28,1286,738,1473.7,待统计,,,,,
微信图片_20260920144100_190_28.jpg,28,1080,1920,473.0,待统计,,,,,
微信图片_20260920144101_191_28.jpg,28,720,1280,126.1,待统计,,,,,
微信图片_20260920144102_192_28.jpg,28,1080,1920,367.4,待统计,,,,,
微信图片_20260920144103_193_28.jpg,28,281,500,31.7,待统计,,,,,
微信图片_20260920144103_194_28.jpg,28,720,1280,528.5,待统计,,,,,
微信图片_20260920144104_195_28.jpg,28,800,1422,213.0,待统计,,,,,
微信图片_20260920144105_196_28.jpg,28,330,587,52.1,待统计,,,,,
微信图片_20260920144106_197_28.jpg,28,800,1067,305.7,待统计,,,,,
微信图片_20260920144107_198_28.jpg,28,662,662,188.9,待统计,,,,,
微信图片_20260920144109_199_28.jpg,28,1440,1920,899.7,待统计,,,,,
微信图片_20260920144109_200_28.jpg,28,720,1278,165.2,待统计,,,,,
微信图片_20260920144110_201_28.jpg,28,1014,1802,439.9,待统计,,,,,
微信图片_20260920144112_202_28.jpg,28,1080,1920,626.4,待统计,,,,,
微信图片_20260920144113_203_28.jpg,28,1080,1920,556.7,待统计,,,,,
微信图片_20260920144113_204_28.jpg,28,540,960,245.3,待统计,,,,,
微信图片_20260920144114_205_28.jpg,28,500,889,125.0,待统计,,,,,
微信图片_20260920144115_206_28.jpg,28,843,1498,166.1,待统计,,,,,
微信图片_20260920144116_207_28.jpg,28,800,1067,206.8,待统计,,,,,
微信图片_20260920144117_208_28.jpg,28,993,1803,141.1,待统计,,,,,
微信图片_20260920144118_209_28.jpg,28,800,1422,242.0,待统计,,,,,
